_date,total_clones,unique_clones
2022-03-04,1,1
2022-03-13,1,1
2022-03-16,35,10
2022-03-21,2,2
2022-03-23,2,1
2022-03-28,1,1
2022-04-03,1,1
2022-04-04,2,2
2022-04-11,1,1
2022-04-18,2,2
2022-04-25,2,2
2022-05-02,3,3
2022-05-09,2,2
2022-05-16,2,2
2022-05-21,2,1
2022-05-22,1,1
2022-05-23,2,2
2022-05-30,4,4
2022-06-02,2,1
2022-06-06,3,3
2022-06-13,4,3
2022-06-17,2,1
2022-06-20,3,3
2022-06-25,1,1
2022-06-26,4,2
2022-06-27,3,3
2022-07-04,3,3
2022-07-05,3,2
2022-07-09,1,1
2022-07-11,3,3
2022-07-13,2,1
2022-07-18,3,3
2022-07-20,2,1
2022-07-22,2,1
2022-07-24,1,1
2022-07-25,1,1
2022-07-31,2,1
2022-08-01,2,2
2022-08-02,1,1
2022-08-08,5,4
2022-08-09,2,1
2022-08-12,7,5
2022-08-15,2,2
2022-08-19,2,1
2022-08-22,1,1
2022-08-29,1,1
2022-08-30,2,1
2022-09-05,1,1
2022-09-12,2,2
2022-09-13,2,1
2022-09-19,3,3
2022-09-21,1,1
2022-09-24,1,1
2022-09-26,2,2
2022-10-03,2,2
2022-10-04,1,1
2022-10-10,2,2
2022-10-14,1,1
2022-10-16,1,1
2022-10-17,1,1
2022-10-22,2,2
2022-10-24,1,1
2022-10-25,2,1
2022-10-28,1,1
2022-10-31,2,2
2022-11-05,1,1
2022-11-07,2,2
2022-11-11,1,1
2022-11-13,2,1
2022-11-14,1,1
2022-11-18,2,2
2022-11-21,1,1
2022-11-25,1,1
2022-11-28,1,1
2022-11-29,1,1
2022-12-01,1,1
2022-12-02,1,1
2022-12-05,1,1
2022-12-07,2,1
2022-12-09,1,1
2022-12-12,2,2
2022-12-13,1,1
2022-12-16,1,1
2022-12-18,1,1
2022-12-19,1,1
2022-12-24,1,1
2022-12-26,2,2
2022-12-27,1,1
2023-01-01,1,1
2023-01-02,1,1
2023-01-03,6,3
2023-01-04,3,2
2023-01-08,2,2
2023-01-09,1,1
2023-01-11,2,1
2023-01-15,1,1
2023-01-16,3,3
2023-01-22,1,1
2023-01-23,1,1
2023-01-29,1,1
2023-01-30,4,4
2023-02-05,1,1
2023-02-06,2,2
2023-02-13,4,4
2023-02-20,3,3
2023-02-21,1,1
2023-02-25,2,1
2023-02-26,1,1
2023-03-01,1,1
2023-03-02,3,2
2023-03-06,3,3
2023-03-07,2,1
2023-03-09,1,1
2023-03-13,2,2
2023-03-15,1,1
2023-03-18,2,2
2023-03-19,1,1
2023-03-20,3,3
2023-03-27,2,2
2023-04-03,3,3
2023-04-10,1,1
2023-04-11,1,1
2023-04-15,2,2
2023-04-17,1,1
2023-04-24,4,3
2023-05-01,3,2
2023-05-04,1,1
2023-05-08,4,3
2023-05-09,1,1
2023-05-12,1,1
2023-05-15,5,4
2023-05-20,2,1
2023-05-21,4,2
2023-05-22,2,2
2023-05-26,1,1
2023-05-29,5,5
2023-06-01,2,2
2023-06-05,3,3
2023-06-12,1,1
2023-06-19,4,4
2023-06-22,2,1
2023-06-26,1,1
2023-06-29,1,1
2023-06-30,2,2
2023-07-02,1,1
2023-07-03,3,3
2023-07-10,1,1
2023-07-13,1,1
2023-07-17,2,2
2023-07-24,1,1
2023-07-28,4,3
2023-07-31,3,3
2023-08-06,2,1
2023-08-07,1,1
2023-08-11,1,1
2023-08-13,1,1
2023-08-14,2,2
2023-08-15,1,1
2023-08-20,1,1
2023-08-21,1,1
2023-08-23,1,1
2023-08-27,1,1
2023-08-28,3,3
2023-08-30,1,1
2023-09-04,1,1
2023-09-06,2,1
2023-09-07,1,1
2023-09-11,2,2
2023-09-13,1,1
2023-09-16,1,1
2023-09-17,2,2
2023-09-18,5,5
2023-09-25,1,1
2023-10-02,2,2
2023-10-08,1,1
2023-10-09,3,2
2023-10-14,5,1
2023-10-16,2,2
2023-10-23,1,1
2023-10-26,1,1
2023-10-29,1,1
2023-10-30,2,2
2023-10-31,1,1
2023-11-01,2,2
2023-11-03,3,3
2023-11-06,3,3
2023-11-12,1,1
2023-11-13,2,2
2023-11-19,1,1
2023-11-20,2,2
2023-11-24,4,4
2023-11-26,3,2
2023-11-27,3,3
2023-12-03,1,1
2023-12-04,2,2
2023-12-09,1,1
2023-12-10,1,1
2023-12-11,3,3
2023-12-12,1,1
2023-12-17,1,1
2023-12-18,2,2
2023-12-20,1,1
2023-12-24,1,1
2023-12-25,3,3
2023-12-30,2,1
2023-12-31,1,1
2024-01-01,1,1
2024-01-05,3,3
2024-01-07,1,1
2024-01-08,3,3
2024-01-11,1,1
2024-01-12,1,1
2024-01-13,1,1
2024-01-14,1,1
2024-01-15,3,3
2024-01-16,5,5
2024-01-17,2,2
2024-01-18,8,6
2024-01-21,1,1
2024-01-22,2,2
2024-01-23,4,4
2024-01-24,4,4
2024-01-27,3,3
2024-01-28,3,3
2024-01-29,6,5
2024-02-02,5,4
